Country,WHO Region,cases_cumulative_total,cases_cumulative_total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,deaths_cumulative_total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Eswatini,Africa,10539,9084.06,1393,201,261,224.97,76,9,Community transmission
Haiti,Americas,10203,894.8,188,76,236,20.7,0,0,Community transmission
Thailand,South-East Asia,9841,140.99,2957,205,67,0.96,6,0,Clusters of cases
Gabon,Africa,9641,4331.6,70,36,66,29.65,2,0,Community transmission
Réunion,Africa,9173,10245.59,201,55,42,46.91,0,0,Clusters of cases
Rwanda,Africa,9058,699.34,808,210,112,8.65,26,7,Clusters of cases
Guadeloupe,Americas,8702,21748.26,82,0,155,387.38,0,0,Community transmission
Andorra,Europe,8348,108043.75,299,0,84,1087.17,0,0,Community transmission
Bahamas,Americas,7959,20239.34,88,14,175,445.02,5,0,Clusters of cases
Burkina Faso,Africa,7563,361.81,1026,437,89,4.26,7,3,Community transmission
Mali,Africa,7395,365.17,366,135,285,14.07,16,6,Community transmission
Malawi,Africa,7337,383.53,866,227,199,10.4,10,0,Community transmission
Guam,Western Pacific,7200,42660.35,61,8,124,734.71,2,1,Clusters of cases
Trinidad and Tobago,Americas,7196,5141.88,64,10,127,90.75,1,0,Community transmission
Congo,Africa,7160,1297.55,960,960,100,18.12,0,0,Community transmission
Suriname,Americas,6666,11363.17,485,80,126,214.79,5,1,Clusters of cases
Guyana,Americas,6407,8145.68,88,0,166,211.05,2,0,Clusters of cases
Martinique,Americas,6117,16300.48,26,0,43,114.59,0,0,Community transmission
Mayotte,Africa,6045,22157.87,155,0,56,205.27,1,0,Clusters of cases
Djibouti,Eastern Mediterranean,5857,5928.14,26,2,61,61.74,0,0,Clusters of cases
Iceland,Europe,5845,17128.56,91,13,29,84.98,0,0,Community transmission
Aruba,Americas,5811,54427.44,369,95,50,468.31,1,0,Community transmission
Equatorial Guinea,Africa,5286,3767.68,22,7,86,61.3,0,0,Community transmission
Central African Republic,Africa,4969,1028.83,6,6,63,13.04,0,0,Community transmission
Nicaragua,Americas,4867,734.69,38,0,166,25.06,1,0,Community transmission
Somalia,Eastern Mediterranean,4726,297.36,12,0,130,8.18,0,0,Community transmission
Curaçao,Americas,4378,26679.99,148,36,17,103.6,3,1,Community transmission
Gambia,Africa,3833,1586.07,36,21,125,51.72,1,0,Community transmission
Togo,Africa,3807,459.85,203,85,70,8.46,2,1,Community transmission
South Sudan,Africa,3604,321.97,64,15,63,5.63,0,0,Community transmission
Niger,Africa,3322,137.24,212,0,104,4.3,8,0,Community transmission
Benin,Africa,3304,272.54,53,0,44,3.63,0,0,Community transmission
Jersey,Europe,2892,26580.88,166,29,53,487.13,11,2,Community transmission
Gibraltar,Europe,2798,83048.89,825,172,11,326.5,5,1,Clusters of cases
Sierra Leone,Africa,2739,343.36,179,15,76,9.53,0,0,Community transmission
San Marino,Europe,2583,76109.38,199,34,64,1885.79,5,2,Community transmission
Lesotho,Africa,2577,1202.94,0,0,50,23.34,0,0,Community transmission
Guinea-Bissau,Africa,2447,1243.39,0,0,45,22.87,0,0,Community transmission
Liechtenstein,Europe,2372,62196.82,151,10,34,891.52,1,0,Sporadic cases
Chad,Africa,2328,141.73,251,39,105,6.39,1,0,Community transmission
Yemen,Eastern Mediterranean,2108,70.68,5,2,611,20.49,0,0,Sporadic cases
United States Virgin Islands,Americas,2106,20167.58,75,23,24,229.83,1,0,Community transmission
New Zealand,Western Pacific,1832,379.91,26,0,25,5.18,0,0,Clusters of cases
Liberia,Africa,1800,355.89,0,0,83,16.41,0,0,Community transmission
Sint Maarten,Americas,1512,35259.55,78,8,27,629.63,0,0,Community transmission
Viet Nam,Western Pacific,1509,15.5,44,4,35,0.36,0,0,Clusters of cases
Eritrea,Africa,1445,407.45,193,0,3,0.85,2,0,Sporadic cases
Mongolia,Western Pacific,1362,415.46,147,13,0,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,1024,4672.41,10,0,17,77.57,0,0,Community transmission
Monaco,Europe,1018,25940.27,143,40,4,101.93,1,0,Sporadic cases
Saint Martin,Americas,1002,25918.93,7,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,941,24303.94,67,23,6,154.97,0,0,Clusters of cases
Burundi,Africa,885,74.43,67,43,2,0.17,0,0,Community transmission
Comoros,Africa,864,993.56,99,0,13,14.95,4,0,Community transmission
Papua New Guinea,Western Pacific,799,89.3,19,0,9,1.01,0,0,Community transmission
Bhutan,South-East Asia,767,994.03,97,12,0,0,0,0,Clusters of cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Barbados,Americas,743,2585.47,371,51,7,24.36,0,0,Clusters of cases
Faroe Islands,Europe,643,13158.7,33,3,1,20.46,1,0,Sporadic cases
Bermuda,Americas,636,10213.09,32,4,11,176.64,1,0,Clusters of cases
Mauritius,Africa,531,417.53,4,0,10,7.86,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Isle of Man,Europe,389,4574.75,12,3,25,294.01,0,0,No cases
Cambodia,Western Pacific,386,23.09,8,1,0,0,0,0,Sporadic cases
Saint Lucia,Americas,382,2080.3,29,2,5,27.23,0,0,Sporadic cases
Seychelles,Africa,373,3792.69,147,27,1,10.17,1,0,Sporadic cases
Cayman Islands,Americas,356,5416.92,26,6,2,30.43,0,0,Sporadic cases
Guernsey,Europe,302,4778.78,4,1,13,205.71,0,0,Community transmission
Bonaire,Americas,249,11905.33,84,12,3,143.44,0,0,Sporadic cases
Saint Barthélemy,Americas,191,19322.21,1,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,173,395.45,16,1,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,163,1664.47,4,3,5,51.06,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,149,1343.07,30,0,0,0,0,0,Sporadic cases
Grenada,Americas,130,1155.32,0,0,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,125,2171.76,3,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,107,3538.71,14,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,105,1458.52,9,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,53,59.12,4,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,49,37.16,5,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,40,140.11,2,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,33,620.39,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,29,8326.16,0,0,0,0,0,0,No cases
Greenland,Europe,28,493.2,1,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,19,6052.88,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,2,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
